Date,SI=F,SLV,Silver
2019-07-02,15.154000282287598,14.289999961853027,15.315
2019-07-05,14.91800022125244,14.0600004196167,14.995
2019-07-08,14.972000122070312,14.050000190734865,15.035
2019-07-09,15.067999839782715,14.140000343322756,15.11
2019-07-10,15.147000312805176,14.260000228881836,15.245
2019-07-11,15.06700038909912,14.170000076293945,15.125
2019-07-12,15.16100025177002,14.260000228881836,15.23
2019-07-15,15.289999961853027,14.420000076293945,15.385
2019-07-16,15.600000381469727,14.539999961853027,15.565
2019-07-17,15.892999649047852,14.9399995803833,15.975
2019-07-18,16.120000839233402,15.289999961853027,16.345
2019-07-19,16.117000579833984,15.170000076293945,16.215
2019-07-22,16.34000015258789,15.350000381469727,16.365
2019-07-23,16.405000686645508,15.34000015258789,16.405
2019-07-24,16.554000854492188,15.520000457763672,16.595
2019-07-25,16.339000701904293,15.359999656677244,16.41
2019-07-26,16.325000762939453,15.3100004196167,16.397000000000002
2019-07-29,16.368000030517578,15.399999618530273,16.465
2019-07-30,16.495000839233402,15.5,16.585
2019-07-31,16.346000671386722,15.210000038146973,16.265
2019-08-01,16.121000289916992,15.34000015258789,16.335
2019-08-02,16.222000122070312,15.1899995803833,16.22
2019-08-05,16.344999313354492,15.329999923706055,16.395
2019-08-06,16.405000686645508,15.380000114440918,16.455
2019-08-07,17.156000137329098,15.970000267028807,17.11
2019-08-08,16.900999069213867,15.890000343322756,16.905
2019-08-09,16.89699935913086,15.890000343322756,16.965
2019-08-12,17.038999557495114,15.979999542236328,17.065
2019-08-13,16.955999374389652,15.869999885559082,16.975
2019-08-14,17.253000259399414,16.079999923706055,17.215
2019-08-15,17.187999725341793,16.129999160766598,17.275
2019-08-16,17.096000671386722,16.020000457763672,17.105
2019-08-19,16.913999557495114,15.789999961853027,16.88
2019-08-20,17.121999740600586,16.049999237060547,17.17
2019-08-21,17.125,16.049999237060547,17.12
2019-08-22,17.013999938964847,15.970000267028807,17.035
2019-08-23,17.395000457763672,16.350000381469727,17.44
2019-08-26,17.624000549316406,16.520000457763672,17.66
2019-08-27,18.138999938964844,17.030000686645508,18.195
2019-08-28,18.304000854492188,17.170000076293945,18.36
2019-08-29,18.16699981689453,17.069999694824222,18.27
2019-08-30,18.184999465942386,17.149999618530273,18.38
2019-09-03,19.07900047302246,17.889999389648438,19.265
2019-09-04,19.391000747680664,18.34000015258789,19.59
2019-09-05,18.6560001373291,17.40999984741211,18.66
2019-09-06,17.968000411987305,16.870000839233402,18.18
2019-09-09,18.018999099731445,16.829999923706055,18.01
2019-09-10,18.041000366210934,16.850000381469727,18.02
2019-09-11,18.0310001373291,16.950000762939453,18.1
2019-09-12,18.041000366210934,16.920000076293945,18.105
2019-09-13,17.43600082397461,16.309999465942386,17.435
2019-09-16,17.900999069213867,16.739999771118164,17.86
2019-09-17,18.016000747680664,16.860000610351562,18.025
2019-09-18,17.795000076293945,16.549999237060547,17.75
2019-09-19,17.773000717163086,16.620000839233402,17.79
2019-09-20,17.738000869750977,16.799999237060547,18.0
2019-09-23,18.600000381469727,17.510000228881836,18.635
2019-09-24,18.517000198364254,17.440000534057614,18.61
2019-09-25,17.961999893188477,16.709999084472653,17.915
2019-09-26,17.801000595092773,16.670000076293945,17.81
2019-09-27,17.552000045776367,16.360000610351562,17.554000000000002
2019-09-30,16.898000717163086,15.920000076293945,17.005
2019-10-01,17.20199966430664,16.149999618530273,17.245
2019-10-02,17.591999053955078,16.430000305175778,17.565
2019-10-03,17.584999084472653,16.430000305175778,17.565
2019-10-04,17.540000915527347,16.40999984741211,17.56
2019-10-07,17.457000732421875,16.299999237060547,17.445
2019-10-08,17.617000579833984,16.610000610351562,17.735
2019-10-09,17.72800064086914,16.600000381469727,17.74
2019-10-10,17.520000457763672,16.370000839233402,17.51
2019-10-11,17.461999893188473,16.370000839233402,17.565
2019-10-14,17.634000778198242,16.489999771118164,17.655
2019-10-15,17.308000564575195,16.270000457763672,17.42
2019-10-16,17.35099983215332,16.260000228881836,17.4
2019-10-17,17.535999298095707,16.399999618530273,17.55
2019-10-18,17.50200080871582,16.40999984741211,17.551
2019-10-21,17.525999069213867,16.40999984741211,17.575
2019-10-22,17.437000274658207,16.370000839233402,17.525
2019-10-23,17.517000198364258,16.389999389648438,17.565
2019-10-24,17.73900032043457,16.649999618530273,17.81
2019-10-25,17.861000061035156,16.889999389648438,18.045
2019-10-28,17.81599998474121,16.680000305175778,17.865
2019-10-29,17.770999908447266,16.649999618530273,17.808
2019-10-30,17.815000534057614,16.729999542236328,17.875
2019-10-31,18.013999938964844,16.920000076293945,18.135
2019-11-01,18.003999710083008,16.920000076293945,18.128
2019-11-04,18.013999938964844,16.850000381469727,18.055
2019-11-05,17.516000747680664,16.440000534057614,17.595
2019-11-06,17.558000564575195,16.469999313354492,17.631
2019-11-07,16.969999313354492,16.0,17.118
2019-11-08,16.783000946044922,15.699999809265135,16.805999999999994
2019-11-11,16.761999130249027,15.75,16.865
2019-11-12,16.677000045776367,15.720000267028807,16.784000000000002
2019-11-13,16.898000717163086,15.829999923706055,16.963
2019-11-14,17.01300048828125,15.899999618530273,17.022000000000002
2019-11-15,16.933000564575195,15.850000381469727,16.959
2019-11-18,16.985000610351562,15.920000076293945,17.031
2019-11-19,17.10300064086914,16.020000457763672,17.146
2019-11-20,17.100000381469727,16.040000915527347,17.14
2019-11-21,17.049999237060547,15.989999771118164,17.107
2019-11-22,16.985000610351562,15.899999618530273,17.014
2019-11-25,16.871000289916992,15.779999732971193,16.91
2019-11-26,17.030000686645508,15.989999771118164,17.078
2019-11-27,16.91200065612793,15.84000015258789,16.952
2019-12-02,16.836000442504886,15.800000190734865,16.91
2019-12-03,17.125,16.049999237060547,17.171
2019-12-04,16.797000885009766,15.760000228881836,16.85
2019-12-05,16.941999435424805,15.850000381469727,16.958
2019-12-06,16.481000900268555,15.479999542236328,16.575
2019-12-09,16.531999588012695,15.5,16.611
2019-12-10,16.596000671386722,15.56999969482422,16.664
2019-12-11,16.743999481201172,15.75,16.862000000000002
2019-12-12,16.844999313354492,15.850000381469727,16.936
2019-12-13,16.91200065612793,15.84000015258789,16.942
2019-12-16,17.018999099731445,15.90999984741211,17.041
2019-12-17,16.97800064086914,15.880000114440918,17.012
2019-12-18,16.952999114990234,15.899999618530273,17.017
2019-12-19,17.058000564575195,15.9399995803833,17.066
2019-12-20,17.128000259399414,16.040000915527347,17.202
2019-12-23,17.402999877929688,16.280000686645508,17.432000000000002
2019-12-26,17.893999099731445,16.729999542236328,17.896
2019-12-27,17.849000930786133,16.579999923706055,17.764
2019-12-30,17.908000946044922,16.739999771118164,17.926
2019-12-31,17.827999114990234,16.680000305175778,17.85
2020-01-02,17.965999603271484,16.809999465942386,18.023
2020-01-03,18.06800079345703,16.84000015258789,18.044
2020-01-06,18.097000122070312,16.940000534057614,18.152
2020-01-07,18.31599998474121,17.170000076293945,18.397
2020-01-08,18.08799934387207,16.930000305175778,18.093
2020-01-09,17.860000610351562,16.719999313354492,17.909000000000006
2020-01-10,18.033000946044922,16.889999389648438,18.102
2020-01-13,17.926000595092773,16.780000686645508,17.974
2020-01-14,17.673999786376953,16.620000839233402,17.799
2020-01-15,17.92300033569336,16.809999465942386,18.0
2020-01-16,17.875,16.770000457763672,17.951
2020-01-17,18.01300048828125,16.819999694824222,18.018
2020-01-21,17.750999450683594,16.639999389648438,17.792
2020-01-22,17.770999908447266,16.65999984741211,17.836
2020-01-23,17.773000717163086,16.610000610351562,17.803
2020-01-24,18.05699920654297,16.90999984741211,18.107
2020-01-27,18.0,16.889999389648438,18.104
2020-01-28,17.402000427246097,16.319999694824222,17.454
2020-01-29,17.430999755859375,16.40999984741211,17.56
2020-01-30,17.95199966430664,16.680000305175778,17.843
2020-01-31,17.972000122070312,16.819999694824222,18.054
2020-02-03,17.639999389648438,16.5,17.675
2020-02-04,17.527999877929688,16.450000762939453,17.597
2020-02-05,17.569000244140625,16.459999084472653,17.614
2020-02-06,17.788999557495114,16.629999160766598,17.827
2020-02-07,17.665000915527344,16.540000915527347,17.698
2020-02-10,17.757999420166016,16.610000610351562,17.775
2020-02-11,17.572999954223633,16.479999542236328,17.651
2020-02-12,17.47800064086914,16.329999923706055,17.484
2020-02-13,17.600000381469727,16.459999084472653,17.646
2020-02-14,17.71500015258789,16.559999465942386,17.745
2020-02-18,18.131000518798828,17.010000228881836,18.171
2020-02-19,18.29199981689453,17.229999542236328,18.425
2020-02-20,18.30900001525879,17.139999389648438,18.371
2020-02-21,18.520999908447266,17.280000686645508,18.488
2020-02-24,18.868000030517575,17.399999618530273,18.642
2020-02-25,18.183000564575195,16.709999084472653,18.011
2020-02-26,17.826000213623047,16.680000305175778,17.907
2020-02-27,17.799999237060547,16.469999313354492,17.722
2020-02-28,17.658000946044922,15.529999732971193,16.687
